Num_Acc,an,mois,jour,dep,lat,long,indemne,blesse,hospitalise,decede,total
200500001477,5,1,21,340,43.664,3.975,1,0,1,0,2
200500001478,5,1,6,340,43.911,3.766,0,0,1,0,1
200500001479,5,1,5,340,43.563,4.089,1,1,0,0,2
200500001485,5,1,15,340,43.618,3.174,1,2,0,0,3
200500001487,5,1,1,340,43.301,3.145,0,1,0,0,1
200500001488,5,1,7,340,43.373,3.042,1,2,0,0,3
200500001489,5,1,10,340,43.312,3.168,1,2,0,0,3
200500001490,5,1,3,340,43.427,3.168,2,1,1,0,4
200500001491,5,1,24,340,43.44,3.129,0,0,1,0,1
200500001492,5,1,22,340,43.375,3.147,0,1,1,0,2
200500001494,5,1,18,340,43.5,3.334,0,0,1,1,2
200500001496,5,1,24,340,43.509,3.311,1,0,1,0,2
200500001497,5,1,24,340,43.435,3.255,0,0,1,0,1
200500001498,5,1,15,340,43.285,3.284,1,3,0,0,4
200500001499,5,1,29,340,43.296,3.221,2,2,1,1,6
200500001502,5,1,3,340,43.557,3.487,0,3,0,0,3
200500001503,5,1,13,340,43.575,3.364,0,0,0,1,1
200500001504,5,1,15,340,43.614,3.503,2,2,0,0,4
200500001505,5,1,29,340,43.545,3.485,0,0,1,0,1
200500001508,5,1,4,340,43.562,3.796,0,1,0,0,1
200500001509,5,1,10,340,43.502,3.712,2,1,0,0,3
200500001510,5,1,20,340,43.504,3.668,0,2,0,0,2
200500001511,5,1,28,340,43.461,3.691,1,1,0,0,2
200500001512,5,1,10,340,43.459,3.597,1,1,0,0,2
200500001513,5,1,30,340,43.488,3.663,0,2,0,0,2
200500001940,5,1,4,340,43.556,3.84,1,2,0,0,3
200500001941,5,1,27,340,43.496,3.775,1,0,1,0,2
200500011570,5,2,16,340,43.664,3.95,0,1,0,1,2
200500011571,5,2,24,340,43.632,3.898,1,0,1,0,2
200500011572,5,2,20,340,43.663,4.012,6,0,1,0,7
200500011573,5,2,11,340,43.954,3.784,1,0,0,1,2
200500011576,5,2,7,340,43.627,4.024,1,2,0,0,3
200500011577,5,2,19,340,43.6,3.981,0,3,0,0,3
200500011584,5,2,22,340,43.456,3.035,0,0,0,1,1
200500011586,5,2,9,340,43.556,3.235,1,2,1,0,4
200500011587,5,2,17,340,43.444,3.263,1,1,0,0,2
200500011588,5,2,18,340,43.521,3.267,2,0,0,1,3
200500011589,5,2,20,340,43.495,3.295,0,1,2,0,3
200500011590,5,2,28,340,43.452,3.245,2,1,0,0,3
200500011593,5,2,19,340,43.585,3.492,1,1,0,0,2
200500011598,5,2,14,340,43.551,3.778,0,1,0,1,2
200500011599,5,2,27,340,43.51,3.68,0,0,0,1,1
200500011600,5,2,27,340,43.454,3.646,1,1,0,0,2
200500012005,5,2,3,340,43.798,3.327,2,1,0,0,3
200500012006,5,2,20,340,43.681,3.416,0,1,0,0,1
200500012008,5,2,28,340,43.64,3.585,2,0,0,1,3
200500013440,5,3,4,340,43.679,4.069,0,0,0,2,2
200500013444,5,3,2,340,43.621,3.946,1,1,0,0,2
200500013447,5,3,11,340,43.597,3.109,1,0,0,1,2
200500013449,5,3,18,340,43.601,3.173,0,1,0,0,1
200500013450,5,3,28,340,43.611,3.149,0,5,0,0,5
200500013451,5,3,29,340,43.601,3.135,2,1,0,0,3
200500013452,5,3,16,340,43.294,3.026,0,1,0,0,1
200500013457,5,3,8,340,43.611,3.437,0,1,1,0,2
200500013459,5,3,27,340,43.631,3.434,1,1,0,0,2
200500013460,5,3,3,340,43.367,3.425,1,1,0,0,2
200500013461,5,3,18,340,43.375,3.496,0,3,0,0,3
200500013462,5,3,21,340,43.45,3.441,1,2,0,0,3
200500013466,5,3,6,340,43.506,3.621,0,0,1,0,1
200500024143,5,4,6,340,43.715,4.006,1,0,0,1,2
200500024144,5,4,25,340,43.665,3.976,1,0,1,0,2
200500024145,5,4,28,340,43.673,3.975,1,0,1,0,2
