Num_Acc,an,mois,jour,dep,lat,long,indemne,blesse,hospitalise,decede,total
200500024152,5,4,10,340,43.61,4.0,0,0,1,0,1
200500024155,5,4,3,340,43.613,3.078,0,2,0,0,2
200500024156,5,4,5,340,43.687,2.966,1,1,0,0,2
200500024158,5,4,22,340,43.582,3.052,0,2,0,0,2
200500024159,5,4,28,340,43.642,3.162,1,0,1,0,2
200500024160,5,4,8,340,43.325,3.186,1,0,1,0,2
200500024161,5,4,30,340,43.344,3.018,0,1,0,0,1
200500024164,5,4,7,340,43.42,3.361,0,1,0,0,1
200500024165,5,4,16,340,43.393,3.435,0,1,1,0,2
200500024166,5,4,23,340,43.473,3.379,2,0,1,0,3
200500024167,5,4,3,340,43.46,3.208,0,0,1,0,1
200500024168,5,4,9,340,43.434,3.254,0,0,1,0,1
200500024169,5,4,21,340,43.455,3.21,2,0,2,0,4
200500024170,5,4,29,340,43.42,3.22,2,1,0,0,3
200500024172,5,4,4,340,43.597,3.522,3,1,0,0,4
200500024173,5,4,9,340,43.65,3.45,1,5,0,0,6
200500024174,5,4,17,340,43.533,3.515,0,1,1,0,2
200500024175,5,4,20,340,43.65,3.49,2,1,0,0,3
200500024176,5,4,21,340,43.54,3.44,1,1,0,0,2
200500024177,5,4,29,340,43.61,3.27,2,1,0,0,3
200500024178,5,4,10,340,43.679,3.614,0,1,0,0,1
200500024183,5,4,29,340,43.39,3.46,1,1,0,0,2
200500024185,5,4,25,340,43.564,3.729,1,0,1,0,2
200500024187,5,4,29,340,43.539,3.756,1,0,0,1,2
200500024188,5,4,3,340,43.45,3.64,1,2,0,0,3
200500024189,5,4,8,340,43.486,3.594,1,1,0,0,2
200500024486,5,4,6,340,43.681,4.083,2,0,0,1,3
200500026371,5,5,11,340,43.628,3.901,1,0,1,0,2
200500026372,5,5,28,340,43.653,3.9,0,2,0,0,2
200500026374,5,5,14,340,43.709,4.026,1,1,0,0,2
200500026375,5,5,21,340,43.68,4.024,1,0,0,1,2
200500026381,5,5,24,340,43.633,4.014,0,3,0,0,3
200500026382,5,5,7,340,43.785,3.726,0,1,0,0,1
200500026384,5,5,15,340,43.593,3.087,0,0,1,0,1
200500026387,5,5,26,340,43.386,3.158,0,0,1,0,1
200500026388,5,5,1,340,43.27,2.75,5,4,0,0,9
200500026389,5,5,15,340,43.496,3.345,0,2,0,0,2
200500026390,5,5,18,340,43.383,3.399,0,2,0,0,2
200500026391,5,5,9,340,43.5,3.02,2,1,0,0,3
200500026392,5,5,6,340,43.456,3.21,1,1,0,0,2
200500026393,5,5,14,340,43.297,3.263,1,0,1,0,2
200500026394,5,5,26,340,43.298,3.263,2,0,1,0,3
200500026397,5,5,1,340,43.59,3.475,3,1,0,0,4
200500026398,5,5,11,340,43.56,3.46,1,1,0,0,2
200500026399,5,5,14,340,43.61,3.3,1,1,0,0,2
200500026400,5,5,25,340,43.607,3.488,0,2,0,0,2
200500026401,5,5,21,340,43.64,3.39,0,0,1,0,1
200500026402,5,5,23,340,43.58,3.36,0,1,0,0,1
200500026403,5,5,27,340,43.619,3.437,0,0,1,1,2
200500026413,5,5,30,340,43.45,3.64,3,0,1,0,4
200500027003,5,5,30,340,43.627,3.631,0,1,0,0,1
200500039553,5,6,7,340,43.628,3.901,1,1,0,0,2
200500039556,5,6,15,340,43.686,3.978,1,1,0,0,2
200500039558,5,6,26,340,43.951,3.756,1,1,0,0,2
200500039561,5,6,23,340,43.704,4.196,0,1,0,0,1
200500039562,5,6,8,340,43.606,3.084,2,1,1,0,4
200500039564,5,6,12,340,43.415,2.972,0,1,0,0,1
200500039565,5,6,20,340,43.531,3.113,1,0,0,2,3
200500039566,5,6,26,340,43.444,2.918,0,4,0,0,4
200500039569,5,6,11,340,43.476,3.34,0,2,0,0,2
200500039570,5,6,15,340,43.391,3.42,1,0,1,0,2
200500039573,5,6,3,340,43.479,3.269,0,2,0,0,2
200500039574,5,6,10,340,43.467,3.207,2,4,0,1,7
200500039575,5,6,12,340,43.486,3.289,3,1,0,0,4
200500039577,5,6,26,340,43.509,3.311,1,1,0,0,2
200500039578,5,6,11,340,43.249,3.292,0,1,0,0,1
200500039579,5,6,20,340,43.298,3.259,1,1,0,0,2
200500039580,5,6,26,340,43.292,3.291,0,1,0,0,1
200500039581,5,6,4,340,43.643,3.326,0,0,1,0,1
200500039582,5,6,5,340,43.649,3.457,2,1,0,0,3
200500039584,5,6,10,340,43.54,3.48,0,3,0,0,3
200500039585,5,6,16,340,43.614,3.385,1,1,0,0,2
200500039586,5,6,2,340,43.682,3.482,0,1,0,0,1
200500039590,5,6,16,340,43.375,3.497,2,3,0,0,5
200500039936,5,6,15,340,43.585,3.772,2,1,0,0,3
200500040144,5,6,20,340,43.505,3.786,0,2,0,0,2
200500040193,5,6,12,340,43.567,3.467,0,1,1,0,2
200500040194,5,6,12,340,43.643,3.749,3,1,0,0,4
200500040215,5,6,5,340,43.539,3.939,1,1,0,0,2
200500040216,5,6,10,340,43.561,4.034,1,0,1,0,2
200500042548,5,7,24,340,43.63,3.901,1,0,1,0,2
200500042550,5,7,10,340,43.823,3.815,0,0,0,1,1
200500042552,5,7,26,340,43.952,3.761,1,0,1,0,2
200500042557,5,7,6,340,43.656,3.984,3,1,5,0,9
200500042562,5,7,3,340,43.68,3.027,0,0,1,0,1
200500042564,5,7,14,340,43.628,3.159,1,1,0,0,2
200500042565,5,7,14,340,43.283,3.096,0,0,1,0,1
200500042567,5,7,23,340,43.374,3.175,0,0,0,1,1
200500042568,5,7,2,340,43.462,3.409,0,1,0,0,1
200500042576,5,7,29,340,43.467,3.27,0,1,0,0,1
200500042577,5,7,18,340,43.279,3.265,0,0,1,1,2
200500042578,5,7,1,340,43.771,3.344,1,1,0,0,2
200500042579,5,7,11,340,43.701,3.343,0,1,0,0,1
200500042580,5,7,28,340,43.71,3.391,0,0,1,0,1
200500042581,5,7,31,340,43.573,3.465,1,0,1,0,2
200500042585,5,7,10,340,43.342,3.534,1,0,1,0,2
200500042588,5,7,8,340,43.365,3.488,2,0,0,1,3
200500042591,5,7,6,340,43.433,3.607,1,1,0,0,2
200500042593,5,7,16,340,43.459,3.658,0,2,1,0,3
200500042943,5,7,3,340,43.649,3.693,1,1,0,0,2
200500042944,5,7,17,340,43.583,3.824,1,0,1,0,2
200500042945,5,7,30,340,43.631,3.805,1,0,1,0,2
200500043185,5,7,7,340,43.542,3.861,0,2,0,0,2
200500043186,5,7,9,340,43.482,3.805,0,1,0,0,1
200500043188,5,7,17,340,43.483,3.805,0,0,0,1,1
200500043189,5,7,22,340,43.489,3.8,1,5,1,0,7
200500043250,5,7,2,340,43.702,3.339,0,0,1,0,1
200500043251,5,7,2,340,43.667,3.439,0,0,1,0,1
200500043252,5,7,10,340,43.83,3.3,0,0,1,0,1
200500043253,5,7,15,340,43.64,3.584,0,0,2,0,2
200500049642,5,8,11,340,43.943,3.692,0,0,2,0,2
200500049643,5,8,27,340,43.943,3.692,0,1,1,0,2
200500049656,5,8,13,340,43.28,3.12,1,0,1,0,2
200500049657,5,8,25,340,43.393,3.415,2,2,0,0,4
200500049659,5,8,1,340,43.458,3.218,0,1,1,0,2
200500049660,5,8,26,340,43.475,3.222,1,1,0,0,2
200500049661,5,8,28,340,43.425,3.294,1,1,0,0,2
200500049663,5,8,10,340,43.294,3.353,0,0,2,0,2
200500049666,5,8,7,340,43.594,3.455,0,2,0,0,2
200500049667,5,8,9,340,43.649,3.458,0,0,1,0,1
200500049668,5,8,21,340,43.622,3.45,0,0,2,0,2
200500049669,5,8,29,340,43.542,3.457,2,0,1,0,3
200500049670,5,8,31,340,43.649,3.465,0,0,1,0,1
200500049673,5,8,12,340,43.393,3.501,1,0,1,0,2
200500049682,5,8,1,340,43.474,3.676,0,2,3,0,5
200500049683,5,8,3,340,43.458,3.654,0,0,2,0,2
200500049684,5,8,13,340,43.473,3.674,0,0,1,3,4
200500049685,5,8,20,340,43.494,3.693,1,2,0,0,3
200500049991,5,8,4,340,43.593,3.809,1,0,0,1,2
200500049993,5,8,14,340,43.6,3.79,2,1,1,0,4
200500055637,5,9,18,340,43.657,3.968,1,2,0,0,3
200500055639,5,9,4,340,43.961,3.688,1,0,1,0,2
200500055648,5,9,11,340,43.3,3.15,1,1,0,0,2
200500055650,5,9,17,340,43.27,2.77,0,0,1,0,1
200500055654,5,9,14,340,43.471,3.299,1,2,0,0,3
200500055655,5,9,23,340,43.421,3.228,1,1,0,0,2
200500055657,5,9,17,340,43.619,3.255,0,0,1,0,1
200500055658,5,9,18,340,43.562,3.526,2,2,0,0,4
200500055659,5,9,18,340,43.61,3.357,0,0,1,0,1
200500055660,5,9,22,340,43.632,3.473,0,0,1,0,1
200500055661,5,9,24,340,43.577,3.464,0,0,1,0,1
200500055965,5,9,9,340,43.576,3.85,0,0,1,0,1
200500064102,5,10,24,340,43.635,3.91,1,1,0,0,2
200500064105,5,10,29,340,43.677,3.98,3,1,0,0,4
200500064106,5,10,20,340,43.572,4.067,1,1,0,0,2
200500064114,5,10,14,340,43.59,3.12,1,0,3,0,4
200500064115,5,10,9,340,43.298,3.128,1,0,1,0,2
200500064116,5,10,14,340,43.518,3.189,3,1,1,0,5
200500064117,5,10,12,340,43.492,3.293,0,0,1,0,1
200500064118,5,10,5,340,43.318,3.34,0,0,0,1,1
200500064120,5,10,19,340,43.513,3.651,0,1,1,0,2
200500064122,5,10,30,340,43.502,3.7,0,1,0,0,1
200500064449,5,10,7,340,43.577,3.817,1,1,0,0,2
200500064452,5,10,31,340,43.648,3.717,2,1,0,0,3
200500064634,5,10,29,340,43.51,3.8,0,0,2,0,2
200500064695,5,10,23,340,43.534,3.922,0,0,1,0,1
200500071784,5,11,19,340,43.642,3.93,1,1,0,0,2
200500071787,5,11,29,340,43.951,3.685,1,0,1,0,2
200500071788,5,11,14,340,43.56,4.08,0,1,1,0,2
200500071792,5,11,21,340,43.628,4.026,1,0,1,0,2
200500071794,5,11,25,340,43.761,3.752,2,0,0,1,3
200500071795,5,11,26,340,43.761,4.024,0,0,1,0,1
200500071796,5,11,28,340,43.33,3.041,0,0,1,0,1
200500071797,5,11,11,340,43.443,3.135,0,0,3,1,4
200500071801,5,11,11,340,43.629,2.667,0,0,1,0,1
200500071803,5,11,7,340,43.431,3.293,0,1,0,0,1
200500071804,5,11,13,340,43.532,3.242,0,0,1,0,1
200500071805,5,11,3,340,43.295,3.182,0,0,1,1,2
200500071807,5,11,6,340,43.537,3.503,0,0,1,0,1
200500071808,5,11,26,340,43.671,3.437,0,0,1,0,1
200500071810,5,11,29,340,43.655,3.507,1,2,0,0,3
200500072120,5,11,19,340,43.539,3.779,1,1,0,0,2
200500079129,5,12,24,340,43.64,3.92,0,0,1,0,1
200500079130,5,12,1,340,43.664,3.967,1,1,0,0,2
200500079135,5,12,29,340,43.736,4.106,0,0,3,0,3
200500079136,5,12,29,340,43.675,4.051,0,2,3,1,6
200500079137,5,12,18,340,43.626,4.05,1,0,1,0,2
200500079138,5,12,22,340,43.657,4.047,1,0,2,0,3
200500079139,5,12,10,340,43.84,3.744,1,2,0,0,3
200500079140,5,12,25,340,43.76,3.744,0,0,1,0,1
200500079141,5,12,3,340,43.744,3.867,0,5,1,0,6
200500079144,5,12,29,340,43.334,3.123,1,1,0,0,2
200500079145,5,12,31,340,43.294,3.118,1,4,0,0,5
200500079146,5,12,26,340,43.402,3.193,1,0,0,1,2
200500079152,5,12,30,340,43.546,3.458,0,0,0,1,1
200500079153,5,12,15,340,43.544,3.457,3,0,1,0,4
200500079155,5,12,20,340,43.623,3.507,1,1,2,0,4
200500079161,5,12,24,340,43.52,3.696,0,0,1,0,1
200500079162,5,12,21,340,43.443,3.626,1,0,0,1,2
200500079418,5,12,2,340,43.596,3.821,1,0,0,1,2
200500079419,5,12,23,340,43.584,3.859,5,0,1,0,6
200500079420,5,12,23,340,43.645,3.696,0,1,2,0,3
200500079580,5,12,29,340,43.649,3.731,0,0,1,1,2
200600005575,6,1,13,340,43.698,4.137,1,1,2,0,4
200600005576,6,1,28,340,43.623,4.119,1,0,2,0,3
200600005578,6,1,25,340,43.584,3.062,1,0,1,0,2
200600005580,6,1,31,340,43.326,3.021,0,0,0,1,1
200600005585,6,1,11,340,43.609,3.361,2,0,1,0,3
200600005586,6,1,26,340,43.575,3.416,1,0,1,0,2
200600005587,6,1,23,340,43.624,3.508,2,0,0,1,3
200600005589,6,1,25,340,43.366,3.488,0,0,2,0,2
200600005591,6,1,6,340,43.515,3.656,1,0,1,0,2
200600005592,6,1,25,340,43.487,3.699,0,1,2,0,3
200600005593,6,1,31,340,43.449,3.636,0,0,1,0,1
200600007040,6,2,3,340,43.679,4.135,2,0,2,0,4
200600007042,6,2,8,340,43.657,4.112,2,1,1,0,4
200600007048,6,2,18,340,43.793,3.76,1,0,1,0,2
200600007050,6,2,27,340,43.237,3.251,1,0,1,0,2
200600007051,6,2,2,340,43.56,3.527,1,3,0,0,4
200600007052,6,2,22,340,43.576,3.416,0,1,1,0,2
200600007055,6,2,5,340,43.327,3.541,1,0,1,0,2
200600007057,6,2,21,340,43.528,3.736,1,0,1,0,2
200600007230,6,2,19,340,43.582,3.769,2,0,1,0,3
200600007269,6,2,15,340,43.308,3.227,1,0,0,1,2
200600007270,6,2,20,340,43.592,3.895,1,0,1,0,2
200600016565,6,3,10,340,43.952,3.685,4,1,0,0,5
200600016567,6,3,9,340,43.677,4.147,1,2,0,0,3
200600016573,6,3,28,340,43.469,3.401,1,0,1,0,2
200600016574,6,3,6,340,43.474,2.819,2,1,1,0,4
200600016575,6,3,26,340,43.592,2.704,0,0,1,0,1
200600016576,6,3,3,340,43.476,3.222,2,0,1,0,3
200600016577,6,3,14,340,43.424,3.227,2,0,2,0,4
200600016578,6,3,16,340,43.4,3.328,0,0,1,1,2
200600016579,6,3,20,340,43.409,3.236,0,0,0,1,1
200600016580,6,3,31,340,43.506,3.31,0,0,0,1,1
200600016583,6,3,23,340,43.541,3.56,1,2,0,0,3
200600016585,6,3,15,340,43.655,3.51,1,0,1,0,2
200600016592,6,3,2,340,43.504,3.605,0,2,1,0,3
200600016819,6,3,1,340,43.592,3.836,0,1,1,0,2
200600016820,6,3,21,340,43.618,3.817,0,0,1,0,1
200600016943,6,3,9,340,43.539,3.823,1,0,1,0,2
200600017004,6,3,17,340,43.682,3.903,1,1,0,0,2
200600018404,6,4,29,340,43.795,3.911,0,0,1,0,1
200600018406,6,4,6,340,43.558,3.196,0,0,1,0,1
200600018407,6,4,8,340,43.58,3.16,0,0,1,0,1
200600018409,6,4,20,340,43.32,3.141,0,0,0,2,2
200600018410,6,4,21,340,43.275,3.08,0,1,1,0,2
200600018412,6,4,20,340,43.341,2.973,0,0,1,0,1
200600018413,6,4,22,340,43.304,3.133,0,0,0,1,1
200600018415,6,4,12,340,43.48,3.29,0,0,1,0,1
200600018416,6,4,16,340,43.5,3.29,1,1,1,0,3
200600018417,6,4,2,340,43.265,3.161,0,0,1,0,1
200600018419,6,4,8,340,43.613,3.385,0,1,0,0,1
200600018422,6,4,14,340,43.389,3.47,1,0,1,0,2
200600018424,6,4,30,340,43.563,3.798,2,0,2,0,4
200600018425,6,4,17,340,43.445,3.618,0,0,4,0,4
200600018696,6,4,7,340,43.56,3.84,0,0,1,0,1
200600018697,6,4,11,340,43.57,3.73,0,0,2,0,2
200600018700,6,4,29,340,43.59,3.8,1,1,0,0,2
200600018845,6,4,20,340,43.559,3.847,0,0,1,0,1
200600018909,6,4,9,340,43.674,3.903,0,0,2,0,2
200600024671,6,5,28,340,43.67,4.14,4,1,1,0,6
200600024678,6,5,3,340,43.482,2.793,0,0,1,0,1
200600024679,6,5,6,340,43.407,3.341,0,0,3,0,3
200600024682,6,5,24,340,43.29,3.251,1,1,0,0,2
200600024684,6,5,30,340,43.737,3.3,0,0,3,0,3
200600024685,6,5,9,340,43.631,3.437,1,0,1,0,2
200600024686,6,5,11,340,43.573,3.403,0,0,1,0,1
200600024687,6,5,16,340,43.612,3.38,0,0,1,0,1
200600024688,6,5,24,340,43.672,3.47,0,3,0,0,3
200600024691,6,5,4,340,43.348,3.424,1,0,0,1,2
200600024696,6,5,11,340,43.454,3.647,2,0,1,0,3
200600024698,6,5,26,340,43.484,3.674,2,0,1,0,3
200600025028,6,5,13,340,43.598,3.906,2,0,1,0,3
200600025150,6,5,29,340,43.658,3.528,1,0,1,0,2
200600031688,6,6,19,340,43.63,3.97,2,0,1,0,3
200600031689,6,6,22,340,43.6,3.96,2,0,0,1,3
200600031690,6,6,30,340,43.646,3.954,0,2,1,0,3
200600031694,6,6,28,340,43.296,3.12,0,0,0,1,1
200600031696,6,6,7,340,43.46,3.424,1,1,0,0,2
200600031697,6,6,16,340,43.465,3.421,1,0,1,0,2
200600031701,6,6,18,340,43.399,3.327,0,1,0,0,1
200600031703,6,6,8,340,43.247,3.291,0,0,1,0,1
200600031704,6,6,30,340,43.287,3.284,1,0,1,0,2
200600031706,6,6,1,340,43.562,3.524,1,1,0,0,2
200600031707,6,6,10,340,43.543,3.5,2,0,3,0,5
200600031708,6,6,21,340,43.583,3.489,0,0,1,0,1
200600031709,6,6,27,340,43.633,3.433,1,0,1,0,2
200600031710,6,6,27,340,43.624,3.412,0,0,1,0,1
200600031711,6,6,26,340,43.71,3.556,0,0,1,0,1
200600031712,6,6,26,340,43.631,3.434,1,0,1,0,2
200600031714,6,6,26,340,43.467,3.626,0,1,1,0,2
200600032020,6,6,9,340,43.587,3.754,2,0,1,0,3
200600032105,6,6,7,340,43.568,3.839,0,0,2,0,2
200600044092,6,7,1,340,43.907,3.7,0,1,1,0,2
200600044094,6,7,31,340,43.564,4.026,2,0,1,0,3
200600044097,6,7,8,340,43.847,3.635,0,0,1,0,1
200600044101,6,7,30,340,43.69,2.962,1,0,1,0,2
200600044107,6,7,22,340,43.468,3.433,0,0,1,0,1
200600044110,6,7,31,340,43.484,2.686,1,0,2,0,3
200600044112,6,7,10,340,43.297,3.36,1,0,1,0,2
200600044113,6,7,30,340,43.289,3.279,0,0,0,1,1
200600044115,6,7,16,340,43.598,3.5,1,0,1,0,2
200600046421,6,8,13,340,43.765,3.887,0,0,1,0,1
200600046422,6,8,2,340,43.604,3.171,1,2,0,0,3
200600046424,6,8,6,340,43.668,3.058,3,0,0,1,4
200600046425,6,8,13,340,43.66,3.144,1,0,1,0,2
200600046426,6,8,13,340,43.689,2.921,3,1,0,0,4
200600046431,6,8,13,340,43.428,2.951,0,2,2,0,4
200600046432,6,8,23,340,43.459,2.897,0,0,1,0,1
200600046437,6,8,2,340,43.481,3.282,2,0,1,0,3
200600046438,6,8,5,340,43.45,3.295,0,1,0,1,2
200600046440,6,8,30,340,43.429,3.288,0,0,1,0,1
200600046442,6,8,11,340,43.275,3.232,0,0,1,1,2
200600046443,6,8,12,340,43.297,3.293,1,0,1,0,2
200600046445,6,8,28,340,43.244,3.254,0,0,4,0,4
200600046447,6,8,3,340,43.605,3.487,1,0,1,0,2
200600046448,6,8,10,340,43.615,3.322,1,0,1,0,2
200600046450,6,8,13,340,43.575,3.458,0,0,1,0,1
200600046452,6,8,18,340,43.61,3.61,3,1,0,0,4
200600046462,6,8,28,340,43.515,3.584,0,0,1,0,1
200600046741,6,8,1,340,43.586,3.794,5,0,1,0,6
200600046742,6,8,18,340,43.575,3.813,1,0,1,0,2
200600046821,6,8,8,340,43.435,3.561,0,0,5,0,5
200600046823,6,8,28,340,43.306,3.216,1,0,1,0,2
200600046959,6,8,25,340,43.71,3.329,0,0,1,0,1
200600046960,6,8,27,340,43.633,3.778,0,0,2,0,2
200600046978,6,8,6,340,43.539,3.94,1,0,1,0,2
200600052310,6,9,18,340,43.433,2.979,0,0,0,1,1
200600052311,6,9,4,340,43.442,3.417,0,0,1,1,2
200600052312,6,9,22,340,43.488,2.752,1,0,1,0,2
200600052313,6,9,24,340,43.483,2.668,0,0,2,0,2
200600052314,6,9,1,340,43.531,3.242,1,0,1,0,2
200600052315,6,9,23,340,43.436,3.254,0,0,1,0,1
200600052320,6,9,6,340,43.534,3.486,0,0,2,0,2
200600052321,6,9,8,340,43.58,3.482,0,0,0,1,1
200600052322,6,9,9,340,43.549,3.486,0,5,0,0,5
200600052323,6,9,14,340,43.63,3.436,1,0,1,0,2
200600052324,6,9,23,340,43.612,3.351,1,1,1,0,3
200600052326,6,9,29,340,43.648,3.476,1,0,1,0,2
200600052336,6,9,18,340,43.454,3.615,0,1,1,0,2
200600052337,6,9,27,340,43.504,3.605,1,0,1,0,2
200600052621,6,9,9,340,43.58,3.85,1,0,1,0,2
200600052622,6,9,24,340,43.65,3.709,1,0,1,0,2
200600052769,6,9,23,340,43.73,3.79,1,4,3,1,9
200600059670,6,10,5,340,43.667,4.031,1,1,0,0,2
200600059671,6,10,1,340,43.949,3.714,8,0,0,1,9
200600059676,6,10,15,340,43.759,4.073,1,0,1,0,2
200600059680,6,10,10,340,43.757,3.757,0,0,1,0,1
200600059687,6,10,14,340,43.426,2.949,1,0,1,0,2
200600059689,6,10,20,340,43.474,3.432,1,3,0,0,4
200600059690,6,10,31,340,43.439,3.416,0,1,1,0,2
200600059691,6,10,31,340,43.392,2.761,0,1,0,0,1
200600059693,6,10,16,340,43.393,3.316,2,0,2,0,4
200600059694,6,10,18,340,43.47,3.229,1,2,0,0,3
200600059695,6,10,29,340,43.552,3.287,0,0,1,0,1
200600059697,6,10,23,340,43.297,3.292,0,0,1,0,1
200600059698,6,10,28,340,43.289,3.284,1,0,1,0,2
200600059700,6,10,14,340,43.545,3.464,0,1,0,0,1
200600059706,6,10,1,340,43.43,3.609,0,1,2,0,3
200600059707,6,10,13,340,43.46,3.545,1,0,1,0,2
200600059974,6,10,5,340,43.574,3.851,1,0,1,0,2
200600060204,6,10,6,340,43.668,3.911,1,0,0,1,2
200600060205,6,10,13,340,43.731,3.914,1,0,1,0,2
200600072574,6,11,9,340,43.929,3.704,1,2,0,0,3
200600072579,6,11,26,340,43.866,3.906,1,1,0,0,2
200600072582,6,11,4,340,43.377,3.183,1,0,2,0,3
200600072583,6,11,9,340,43.44,3.146,1,0,1,0,2
200600072585,6,11,4,340,43.466,3.419,1,0,1,0,2
200600072587,6,11,6,340,43.428,3.367,0,0,0,1,1
200600072588,6,11,14,340,43.431,3.37,0,0,1,0,1
200600072589,6,11,17,340,43.486,3.484,1,0,2,0,3
200600072591,6,11,7,340,43.414,3.311,1,0,0,1,2
200600072592,6,11,10,340,43.445,3.264,2,1,0,0,3
200600072594,6,11,18,340,43.319,3.362,0,1,3,0,4
200600072595,6,11,30,340,43.286,3.31,0,0,2,0,2
200600072597,6,11,5,340,43.549,3.486,2,0,2,0,4
200600072598,6,11,8,340,43.592,3.509,1,0,1,0,2
200600072599,6,11,23,340,43.613,3.304,0,1,0,0,1
200600072603,6,11,10,340,43.364,3.425,1,0,1,0,2
200600072605,6,11,1,340,43.507,3.666,0,1,0,0,1
200600072606,6,11,14,340,43.477,3.684,2,0,0,1,3
200600072837,6,11,23,340,43.588,3.76,1,1,1,0,3
200600072911,6,11,24,340,43.382,3.443,1,0,1,0,2
200600074534,6,12,2,340,43.65,4.032,0,0,1,0,1
200600074539,6,12,3,340,43.293,3.115,2,0,1,0,3
200600074540,6,12,28,340,43.416,3.136,0,0,1,0,1
200600074544,6,12,29,340,43.486,3.48,2,0,1,0,3
200600074546,6,12,10,340,43.269,3.284,1,0,0,1,2
200600074548,6,12,3,340,43.647,3.433,0,1,1,0,2
200600074549,6,12,5,340,43.586,3.495,2,1,0,0,3
200600074550,6,12,15,340,43.625,3.438,1,1,1,0,3
200600074551,6,12,21,340,43.524,3.518,0,0,1,0,1
200600074554,6,12,30,340,43.5,3.71,1,0,1,0,2
200600074556,6,12,17,340,43.448,3.57,1,0,0,1,2
200600074962,6,12,1,340,43.525,3.83,1,0,1,0,2
