lat;long;grav;ttue;tbg;tbl;nbimp
43.54882;3.97963;11.23;0;1;1;2
43.33;3.561;132.4;1;3;0;4
43.70877;3.8041;11.23;0;1;1;2
43.5924;3.90707;11.23;0;1;1;2
43.322;3.552;10.8;0;1;0;1
43.61634;3.84089;21.6;0;2;0;2
43.657;4.112;11.23;0;1;1;2
43.576;3.416;11.23;0;1;1;2
43.474;2.819;11.23;0;1;1;2
43.592;3.836;11.23;0;1;1;2
43.275;3.08;11.23;0;1;1;2
43.5;3.29;11.23;0;1;1;2
43.67;4.14;11.23;0;1;1;2
43.467;3.626;11.23;0;1;1;2
43.907;3.7;11.23;0;1;1;2
43.612;3.351;11.23;0;1;1;2
43.454;3.615;11.23;0;1;1;2
43.439;3.416;11.23;0;1;1;2
43.588;3.76;11.23;0;1;1;2
43.647;3.433;11.23;0;1;1;2
43.625;3.438;11.23;0;1;1;2
43.52;3.684;11.23;0;1;1;2
43.6009;3.89779;11.23;0;1;1;2
43.371;3.157;11.23;0;1;1;2
43.57404;3.89526;11.23;0;1;1;2
43.61213;3.8668;11.23;0;1;1;2
43.38;3.411;11.23;0;1;1;2
43.60926;3.8813;11.23;0;1;1;2
43.825;3.898;11.23;0;1;1;2
43.45;3.63;11.23;0;1;1;2
43.377;3.402;11.23;0;1;1;2
43.508;3.315;11.23;0;1;1;2
43.29;3.363;11.23;0;1;1;2
43.568;3.73;11.23;0;1;1;2
43.401;3.469;11.23;0;1;1;2
43.369;3.383;11.23;0;1;1;2
43.6052;3.91751;11.23;0;1;1;2
43.57896;3.89771;11.23;0;1;1;2
43.6066;3.87615;11.23;0;1;1;2
43.626;3.158;11.23;0;1;1;2
43.301;3.276;11.23;0;1;1;2
43.64506;3.86198;11.23;0;1;1;2
43.541;3.552;11.23;0;1;1;2
43.938;3.705;11.23;0;1;1;2
43.484;3.697;11.23;0;1;1;2
43.34;3.45699;11.23;0;1;1;2
43.59603;3.86299;11.23;0;1;1;2
43.635;3.899;11.23;0;1;1;2
43.30855;3.49015;11.23;0;1;1;2
43.593;3.093;11.23;0;1;1;2
43.392;3.457;11.23;0;1;1;2
43.35157;3.45699;11.23;0;1;1;2
43.55134;3.96898;11.23;0;1;1;2
43.457;3.26;11.23;0;1;1;2
43.589;3.779;11.23;0;1;1;2
43.62811;3.84612;11.23;0;1;1;2
43.69865;3.84192;11.23;0;1;1;2
43.622;3.159;11.23;0;1;1;2
43.657;3.987;11.23;0;1;1;2
43.61522;3.89785;11.23;0;1;1;2
43.747;3.333;11.23;0;1;1;2
43.55;3.794;11.23;0;1;1;2
43.415;3.327;11.23;0;1;1;2
43.539;3.862;11.23;0;1;1;2
43.651;3.964;11.23;0;1;1;2
43.314;3.162;11.23;0;1;1;2
43.591;3.457;11.23;0;1;1;2
43.60705;3.8904;11.23;0;1;1;2
43.634;3.898;11.23;0;1;1;2
43.749;3.863;11.23;0;1;1;2
43.61002;3.86232;11.23;0;1;1;2
43.6093;3.83945;11.23;0;1;1;2
43.68533;3.80599;11.23;0;1;1;2
43.60539;3.81491;11.23;0;1;1;2
43.27548;3.2765;11.23;0;1;1;2
43.30938;3.4055;11.23;0;1;1;2
43.704;4.019;11.23;0;1;1;2
43.6248;3.88917;11.23;0;1;1;2
43.66028;3.68995;11.23;0;1;1;2
43.36572;3.22262;11.23;0;1;1;2
43.366;3.377;11.23;0;1;1;2
43.36028;3.43458;11.23;0;1;1;2
43.40103;3.69568;11.23;0;1;1;2
43.451;3.638;11.23;0;1;1;2
43.65256;4.11076;11.23;0;1;1;2
43.53927;3.88406;11.23;0;1;1;2
43.62473;3.88903;11.23;0;1;1;2
43.591;3.789;11.23;0;1;1;2
43.417;3.326;11.23;0;1;1;2
43.667;3.565;11.23;0;1;1;2
43.62;3.15;11.23;0;1;1;2
43.54995;3.89345;11.23;0;1;1;2
43.606;3.502;11.23;0;1;1;2
43.59525;3.87227;11.23;0;1;1;2
43.45699;3.43179;11.23;0;1;1;2
43.61535;3.81789;11.23;0;1;1;2
43.58995;3.8826;11.23;0;1;1;2
3.88226;3.88226;11.23;0;1;1;2
43.37676;3.42107;11.23;0;1;1;2
43.62057;3.83712;11.23;0;1;1;2
43.64826;3.88488;11.23;0;1;1;2
43.30901;2.77265;11.23;0;1;1;2
43.41161;3.69105;11.23;0;1;1;2
43.63933;3.8737;11.23;0;1;1;2
43.64656;3.84227;11.23;0;1;1;2
43.58729;3.92456;11.23;0;1;1;2
43.61719;3.84233;11.23;0;1;1;2
43.41002;3.68831;11.23;0;1;1;2
43.34369;3.26025;11.23;0;1;1;2
43.31087;2.64018;11.23;0;1;1;2
43.54895;3.98312;11.23;0;1;1;2
43.61892;4.11584;11.23;0;1;1;2
43.41002;3.68831;11.23;0;1;1;2
43.60331;3.86622;11.23;0;1;1;2
43.38577;3.22811;11.23;0;1;1;2
43.33796;3.23457;11.23;0;1;1;2
43.66242;3.07569;11.23;0;1;1;2
43.57763;3.46291;11.23;0;1;1;2
43.45307;3.20826;11.23;0;1;1;2
43.67837;3.86683;11.23;0;1;1;2
43.70482;4.02508;11.23;0;1;1;2
43.65368;3.99147;11.23;0;1;1;2
43.63702;3.83199;11.23;0;1;1;2
43.73193;3.30495;11.23;0;1;1;2
43.75057;4.06818;11.23;0;1;1;2
43.686;3.991;11.23;0;1;1;2
43.29065;3.22047;11.23;0;1;1;2
43.43533;3.77358;11.23;0;1;1;2
43.34806;3.53901;11.23;0;1;1;2
43.49008;3.0251;11.23;0;1;1;2
43.328;2.606;11.23;0;1;1;2
43.34868;3.43562;11.23;0;1;1;2
43.32491;3.19366;11.23;0;1;1;2
43.66583;3.90603;11.23;0;1;1;2
43.69643;4.09105;11.23;0;1;1;2
43.44723;3.62061;11.23;0;1;1;2
43.58583;3.86818;11.23;0;1;1;2
43.6185;3.84536;11.23;0;1;1;2
43.57516;3.85643;11.23;0;1;1;2
43.62003;3.85108;11.23;0;1;1;2
43.59291;3.82346;11.23;0;1;1;2
43.59738;3.86426;11.23;0;1;1;2
43.6156;3.85615;11.23;0;1;1;2
43.65601;4.13664;11.23;0;1;1;2
43.681;4.136;11.23;0;1;1;2
43.66931;4.04833;11.23;0;1;1;2
43.34797;3.50853;11.23;0;1;1;2
43.71622;3.95052;11.23;0;1;1;2
43.70496;3.84254;11.23;0;1;1;2
43.55755;3.79492;11.23;0;1;1;2
43.67414;3.98241;11.23;0;1;1;2
43.70485;3.84281;11.23;0;1;1;2
43.34;3.291;11.23;0;1;1;2
43.4;2.915;11.23;0;1;1;2
43.27;3.224;11.23;0;1;1;2
43.60598;3.88624;11.23;0;1;1;2
43.624;3.86435;11.23;0;1;1;2
43.59815;3.84106;11.23;0;1;1;2
43.754;3.897;11.23;0;1;1;2
43.648;3.894;11.23;0;1;1;2
43.95;3.687;11.23;0;1;1;2
43.56683;4.06029;11.23;0;1;1;2
43.937;4.142;11.23;0;1;1;2
43.67734;4.12066;11.23;0;1;1;2
43.65;3.14;11.23;0;1;1;2
43.41993;3.04425;11.23;0;1;1;2
43.28661;2.72301;11.23;0;1;1;2
43.61716;3.45159;11.23;0;1;1;2
43.649;3.451;11.23;0;1;1;2
43.316;3.405;11.23;0;1;1;2
43.45797;3.69794;11.23;0;1;1;2
43.71876;4.14069;11.23;0;1;1;2
43.39157;3.46146;11.23;0;1;1;2
43.371;3.385;11.23;0;1;1;2
43.488;3.696;11.23;0;1;1;2
43.673;3.843;11.23;0;1;1;2
43.74012;3.77586;11.23;0;1;1;2
43.643;3.75;11.23;0;1;1;2
43.30176;3.48343;11.23;0;1;1;2
43.35483;3.23969;11.23;0;1;1;2
43.3528;3.17261;11.23;0;1;1;2
43.35555;3.27934;11.23;0;1;1;2
43.59917;3.84262;11.23;0;1;1;2
43.55391;3.8932;11.23;0;1;1;2
43.63073;3.82255;11.23;0;1;1;2
43.62221;3.84589;11.23;0;1;1;2
43.57515;3.85665;11.23;0;1;1;2
43.61358;3.844;11.23;0;1;1;2
43.6072;3.83827;11.23;0;1;1;2
43.59688;3.88696;11.23;0;1;1;2
43.57564;3.95018;11.23;0;1;1;2
43.62611;3.89502;11.23;0;1;1;2
43.504;3.605;11.66;0;1;2;3
43.646;3.954;11.66;0;1;2;3
43.54785;3.9696;11.66;0;1;2;3
43.682;4.134;11.66;0;1;2;3
43.5;3.59;11.66;0;1;2;3
43.531;3.574;11.66;0;1;2;3
43.60663;3.8595;11.66;0;1;2;3
43.287;3.104;11.66;0;1;2;3
43.485;2.788;11.66;0;1;2;3
43.394;3.315;11.66;0;1;2;3
43.56436;3.95843;11.66;0;1;2;3
43.33495;3.16971;11.66;0;1;2;3
43.426;2.967;11.66;0;1;2;3
43.326;3.037;11.66;0;1;2;3
43.37093;3.17699;11.66;0;1;2;3
43.65934;3.86746;11.66;0;1;2;3
43.30135;3.97411;11.66;0;1;2;3
43.60995;3.83883;11.66;0;1;2;3
43.60075;3.91953;11.66;0;1;2;3
43.586;3.536;11.66;0;1;2;3
43.71899;4.14109;11.66;0;1;2;3
43.62368;3.86186;11.66;0;1;2;3
43.45795;3.53054;11.66;0;1;2;3
43.30951;2.62971;11.66;0;1;2;3
43.4513;3.20878;11.66;0;1;2;3
43.421;3.332;11.66;0;1;2;3
43.458;3.654;11.66;0;1;2;3
43.55932;3.76825;11.66;0;1;2;3
43.277;3.078;11.66;0;1;2;3
43.50297;3.68346;11.66;0;1;2;3
43.68058;4.04034;11.66;0;1;2;3
43.59582;3.9092;11.66;0;1;2;3
43.34539;3.2386;11.66;0;1;2;3
43.57632;3.87412;11.66;0;1;2;3
43.61902;3.82164;11.66;0;1;2;3
43.471;3.685;12.09;0;1;3;4
43.34;3.08;12.09;0;1;3;4
43.341;3.424;12.09;0;1;3;4
43.45;3.6;12.09;0;1;3;4
43.797;3.803;12.09;0;1;3;4
43.485;3.204;12.09;0;1;3;4
43.42985;3.72149;12.09;0;1;3;4
43.397;3.193;12.09;0;1;3;4
43.40722;43.35863;12.09;0;1;3;4
43.60711;3.92039;12.09;0;1;3;4
43.4386;3.21652;12.09;0;1;3;4
43.26053;3.24366;12.09;0;1;3;4
43.62915;3.88062;12.09;0;1;3;4
43.3462;3.45699;12.52;0;1;4;5
43.304;3.21;12.52;0;1;4;5
43.451;3.058;12.52;0;1;4;5
43.3327;3.48859;12.52;0;1;4;5
43.61148;3.82796;12.52;0;1;4;5
43.59663;3.84495;12.52;0;1;4;5
43.724;4.034;12.52;0;1;4;5
43.27655;3.08708;12.95;0;1;5;6
43.44688;3.64032;12.95;0;1;5;6
43.32257;3.18776;13.38;0;1;6;7
43.81926;3.89448;13.81;0;1;7;8
43.5712;3.89608;13.81;0;1;7;8
43.3391;3.21083;15.96;0;1;12;13
43.623;4.119;21.6;0;2;0;2
43.366;3.488;21.6;0;2;0;2
43.679;4.135;21.6;0;2;0;2
43.424;3.227;21.6;0;2;0;2
43.563;3.798;21.6;0;2;0;2
43.57;3.73;21.6;0;2;0;2
43.674;3.903;21.6;0;2;0;2
43.568;3.839;21.6;0;2;0;2
43.484;2.686;21.6;0;2;0;2
43.633;3.778;21.6;0;2;0;2
43.483;2.668;21.6;0;2;0;2
43.534;3.486;21.6;0;2;0;2
43.393;3.316;21.6;0;2;0;2
43.377;3.183;21.6;0;2;0;2
43.486;3.484;21.6;0;2;0;2
43.286;3.31;21.6;0;2;0;2
43.549;3.486;21.6;0;2;0;2
43.88;3.704;21.6;0;2;0;2
43.59415;3.83482;21.6;0;2;0;2
43.57334;3.87791;21.6;0;2;0;2
43.60693;3.8462;21.6;0;2;0;2
43.416;3.509;21.6;0;2;0;2
43.626;3.44;21.6;0;2;0;2
43.894;3.624;21.6;0;2;0;2
43.737;3.323;21.6;0;2;0;2
