lat,long,count
43.30333,2.64274,1
43.64912,2.65105,1
43.45982,2.68241,1
43.59427,2.68683,1
43.28327,2.73143,1
43.44755,2.73484,1
43.32789,2.74174,1
43.46055,2.75069,1
43.45242,2.75151,1
43.30067,2.75252,1
43.48908,2.75775,1
43.48891,2.75814,1
43.48849,2.76057,1
43.28481,2.76128,1
43.48573,2.78103,1
43.48557,2.78106,1
43.50103,2.79126,1
43.5194,2.81524,1
43.52916,2.83445,1
43.45123,2.90462,1
43.68556,2.93777,1
43.57192,2.94559,1
43.44704,2.94781,1
43.31871,2.95259,1
43.68326,2.96144,1
43.41809,2.97173,1
43.35696,2.99508,1
43.31748,3.01185,1
43.46336,3.02561,1
43.31215,3.03177,1
43.32564,3.03827,1
43.4557,3.03838,1
43.32928,3.04761,1
43.66259,3.08162,1
43.58719,3.0837,1
43.32293,3.0913,1
43.38907,3.10679,1
43.63621,3.10935,1
43.28719,3.11018,1
43.45724,3.11335,1
43.29387,3.11467,1
43.43634,3.1153,1
43.29348,3.12713,1
43.41329,3.1375,1
43.36348,3.1426,1
43.4242,3.14443,1
43.6094,3.1487,1
43.36741,3.15621,1
43.3332,3.15661,1
43.27546,3.16363,1
43.64748,3.16459,1
43.64087,3.16583,1
43.30839,3.16793,1
43.41104,3.16932,1
43.56386,3.17539,1
43.26835,3.178,3
43.28593,3.17959,1
43.31532,3.18101,1
43.56918,3.18346,1
43.33168,3.18563,1
43.49711,3.18788,1
43.55485,3.19501,1
43.38893,3.19553,1
43.40218,3.19576,1
43.3379,3.20346,1
43.47585,3.20701,1
43.37177,3.20868,1
43.33913,3.21024,1
43.36669,3.21305,1
43.3484,3.21435,1
43.35144,3.21448,1
43.33905,3.2153,1
43.43763,3.21587,1
43.34363,3.21593,1
43.32958,3.21659,1
43.353,3.21848,1
43.28143,3.22114,1
43.34131,3.22204,1
43.53558,3.22246,1
43.35019,3.22303,1
43.35406,3.22392,1
43.33996,3.2246,1
43.33952,3.22524,1
43.34388,3.22714,1
43.40155,3.22902,1
43.40808,3.22917,1
43.354,3.23023,1
43.3516,3.23085,1
43.34453,3.23156,1
43.46094,3.23458,1
43.3639,3.2385,1
43.3064,3.23968,4
43.41421,3.24007,1
43.40994,3.24111,1
43.33787,3.24139,1
43.71949,3.24507,1
43.71956,3.24509,1
43.2963,3.24598,1
43.34773,3.24726,1
43.3347,3.2515,1
43.33743,3.2517,1
43.3455,3.25507,1
43.32352,3.26338,1
43.72302,3.27403,1
43.26881,3.27514,1
43.32922,3.27747,1
43.43038,3.28062,1
43.27976,3.28199,1
43.27557,3.28247,1
43.27556,3.28393,1
43.26949,3.28438,1
43.28292,3.28452,1
43.25388,3.28755,1
43.32096,3.28786,1
43.28737,3.28973,1
43.24477,3.29053,1
43.32187,3.29289,1
43.32053,3.29391,1
43.28197,3.29601,1
43.45656,3.29718,1
43.3,3.3,2
43.27494,3.30033,1
43.41264,3.30155,1
43.35677,3.3062,1
43.88582,3.30894,1
43.39245,3.32289,1
43.39265,3.323,1
43.73106,3.32394,1
43.85891,3.32466,1
43.79333,3.32631,1
